TOWN,ADDRESS,Times sold,Sold date,Sold price
Liverpool,SELBORNE ROAD 11A ,2,3-31-2017,186740
Liverpool,SELBORNE ROAD 11B ,2,7-19-2017,169000
Liverpool,SELBORNE ROAD 11B ,2,4-20-2018,300000
Liverpool,SELBORNE ROAD 36B ,2,6-30-2016,160000
Liverpool,SELBORNE ROAD 36B ,2,9-18-2017,255000
Liverpool,SELBORNE ROAD 44 FLAT 4,2,6-16-2008,145000
Liverpool,SELBORNE ROAD 44 FLAT 4,2,10-18-2017,210000
Liverpool,SOUTH PARK CRESCENT 2 ,2,2-6-2018,350000
Liverpool,SOUTH PARK CRESCENT 2 ,2,3-26-2018,413000
Liverpool,ST MARYS ROAD 32 ,2,2-14-2011,220000
Liverpool,ST MARYS ROAD 32 ,2,3-16-2018,390000
Liverpool,STAINES ROAD 244 ,2,6-26-2008,250000
Liverpool,STAINES ROAD 244 ,2,3-23-2018,220000
Liverpool,STAINES ROAD 3 ,2,1-20-2016,300000
Liverpool,STAINES ROAD 3 ,2,6-23-2017,410000
Liverpool,STAINES ROAD 76 ,2,10-14-2015,327000
Liverpool,STAINES ROAD 76 ,2,2-23-2018,383000
Liverpool,STANLEY ROAD 120B ,2,11-1-2011,113000
Liverpool,STANLEY ROAD 120B ,2,1-22-2018,228000
Liverpool,THE DRIVE 11B ,2,5-21-2010,147500
Liverpool,THE DRIVE 11B ,2,3-15-2017,268000
Liverpool,THE DRIVE 317 ,2,11-28-2014,350000
Liverpool,THE DRIVE 317 ,2,7-14-2017,530000
Liverpool,THE DRIVE 51 FLAT 1,2,6-2-2008,160000
Liverpool,THE DRIVE 51 FLAT 1,2,2-3-2017,1157500
Liverpool,THE DRIVE 5B ,3,7-25-2014,180000
Liverpool,THE DRIVE 5B ,3,4-15-2016,212000
Liverpool,THE DRIVE 5B ,3,5-4-2017,260000
Liverpool,THOROLD ROAD 346 ,2,1-25-2016,377000
Liverpool,THOROLD ROAD 346 ,2,4-12-2017,435000
